major_diameter,pitch,tpi,tap_drill_size,thread_class,thread_name,custom_thread_profile,preset_name,thumb
22.23,2.31,11,20,BSF,"BSF 7/8""-11",False,"BSF 7/8""-11",BSF_7_8_-11
22.23,2.82,9,19.5,BSW,"BSW 7/8""-9",False,"BSW 7/8""-9",BSW_7_8_-9
22.23,2.82,9,19.5,UNC,"UNC 7/8""-9",False,"UNC 7/8""-9",UNC_7_8_-9
22.91,1.81,14,20.7,BSP,"BSP 5/8""-14",False,"BSP 5/8""-14",BSP_5_8_-14
24,2,,22,Metric Fine,M24×2 (Fine),False,M24×2 (Fine),M24_2__Fine_
24,3,,21,Metric Coarse,M24×3,False,M24×3,M24_3
25.4,1.59,16,23.9,BSCon,"BSCon 1""-16",False,"BSCon 1""-16",BSCon_1_-16
25.4,2.12,12,23.3,UNF,"UNF 1""-12",False,"UNF 1""-12",UNF_1_-12
25.4,2.54,10,22.9,BSF,"BSF 1""-10",False,"BSF 1""-10",BSF_1_-10
25.4,3.18,8,22.3,BSW,"BSW 1""-8",False,"BSW 1""-8",BSW_1_-8
25.4,3.18,8,22.3,UNC,"UNC 1""-8",False,"UNC 1""-8",UNC_1_-8
26.44,1.81,14,24.2,BSP,"BSP 3/4""-14",False,"BSP 3/4""-14",BSP_3_4_-14
26.67,1.81,14,23.4,NPT,"NPT 3/4""-14",False,"NPT 3/4""-14",NPT_3_4_-14
27,2,,25,Metric Fine,M27×2 (Fine),False,M27×2 (Fine),M27_2__Fine_
27,3,,24,Metric Coarse,M27×3,False,M27×3,M27_3
30,2,,28,Metric Fine,M30×2 (Fine),False,M30×2 (Fine),M30_2__Fine_
30,3.5,,26.5,Metric Coarse,M30×3.5,False,M30×3.5,M30_3_5
